ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
5988813,2010,7980,交通运输业,福建,农民专业合作社,企业法人,0.56
5978514,2008,6810,社区服务,湖北,合伙企业,自然人,0.66
5990157,2001,2520,社区服务,广西,合伙企业,自然人,0.62
5984176,2006,8830,交通运输业,山东,合伙企业,企业法人,0.96
5987867,2006,2090,工业,广西,集体所有制企业,自然人,0.67
5978507,2013,1770,商业服务业,广西,股份有限公司,企业法人,0.8
5987557,2012,4180,社区服务,福建,合伙企业,企业法人,0.96
5999145,2004,1940,工业,广东,合伙企业,企业法人,0.72
5987115,2014,6790,交通运输业,湖北,股份有限公司,企业法人,0.52
5983506,2007,8980,交通运输业,湖南,集体所有制企业,企业法人,0.75
5989566,2007,7690,服务业,广西,合伙企业,自然人,0.84
5999531,2011,8700,交通运输业,湖北,合伙企业,企业法人,0.95
5988827,2008,1420,社区服务,湖北,有限责任公司,自然人,0.91
5997285,2011,8400,服务业,湖南,集体所有制企业,企业法人,0.96
5997539,2009,6080,交通运输业,湖北,合伙企业,企业法人,0.57
5978056,2004,4830,商业服务业,山东,股份有限公司,自然人,0.52
5985615,2008,7660,社区服务,广东,股份有限公司,自然人,0.76
5985104,2011,3830,社区服务,江西,股份有限公司,企业法人,0.89
5996963,2007,3050,零售业,福建,有限责任公司,企业法人,0.94
5993383,NA,4340,交通运输业,湖北,农民专业合作社,自然人,0.93
5984224,2005,2470,商业服务业,广西,农民专业合作社,企业法人,0.92
5986950,2013,6780,社区服务,湖南,股份有限公司,企业法人,0.77
5995489,2002,6570,零售业,广东,集体所有制企业,自然人,0.93
5997076,2008,2070,服务业,福建,农民专业合作社,自然人,0.87
5980916,2000,2000,零售业,福建,有限责任公司,企业法人,0.68
5983601,2012,1240,零售业,广西,合伙企业,企业法人,0.53
5988302,2003,6640,交通运输业,福建,集体所有制企业,自然人,0.98
5990010,2003,840,商业服务业,江西,农民专业合作社,自然人,0.58
5980690,2014,7940,零售业,湖北,集体所有制企业,自然人,0.69
5980897,2000,6430,工业,广东,股份有限公司,自然人,0.87
5998861,2009,7260,社区服务,山东,集体所有制企业,企业法人,0.78
5988490,2000,7530,交通运输业,湖南,集体所有制企业,企业法人,0.57
5998202,2001,860,交通运输业,广东,合伙企业,自然人,0.68
5982306,2014,8450,工业,湖北,集体所有制企业,企业法人,0.53
5978142,2005,5210,交通运输业,湖北,有限责任公司,企业法人,0.69
5986418,2006,2910,工业,湖南,合伙企业,自然人,0.91
5993956,2011,6480,商业服务业,江西,股份有限公司,企业法人,0.72
5989594,2009,6010,工业,江西,有限责任公司,自然人,0.53
5981567,2001,9620,工业,山东,有限责任公司,企业法人,0.9
5982740,2000,320,服务业,江西,股份有限公司,企业法人,0.81
5988968,2005,5900,商业服务业,广东,有限责任公司,企业法人,0.98
5991903,2011,5250,商业服务业,福建,有限责任公司,自然人,0.7
5993430,2000,7870,社区服务,湖北,股份有限公司,企业法人,0.57
5984880,2013,8080,社区服务,湖北,农民专业合作社,企业法人,0.62
5978339,2010,2320,零售业,山东,合伙企业,企业法人,0.8
5998308,2001,8250,工业,湖北,集体所有制企业,自然人,0.89
5978660,2014,9370,服务业,山东,集体所有制企业,企业法人,0.64
5984510,2012,6570,工业,广东,合伙企业,自然人,0.56
5987079,2003,4610,社区服务,山东,集体所有制企业,企业法人,0.84
5993465,2009,8130,商业服务业,湖南,有限责任公司,企业法人,0.77
5985790,2002,8250,交通运输业,福建,股份有限公司,自然人,0.86
5996465,2005,2520,社区服务,江西,农民专业合作社,企业法人,0.72
5988318,2001,5870,零售业,江西,股份有限公司,企业法人,0.76
5991668,2008,2690,服务业,山东,合伙企业,自然人,0.76
5979440,2014,9100,NA,广西,农民专业合作社,自然人,0.6
5990188,2011,790,服务业,广东,合伙企业,企业法人,0.83
5999381,2001,5790,交通运输业,江西,合伙企业,企业法人,0.91
5986537,2014,9040,服务业,湖北,股份有限公司,自然人,0.73
5988045,2006,9650,社区服务,江西,合伙企业,企业法人,0.79
5988336,2014,6300,交通运输业,广西,NA,企业法人,0.77
5982718,2004,7020,工业,湖南,农民专业合作社,企业法人,0.52
5988138,2013,1040,社区服务,湖北,有限责任公司,自然人,0.66
5986206,2003,1210,工业,湖南,集体所有制企业,企业法人,0.72
5979106,2007,5610,商业服务业,广东,集体所有制企业,自然人,0.96
5994393,2005,8300,商业服务业,广东,股份有限公司,自然人,0.97
5997403,2007,6020,商业服务业,湖南,合伙企业,自然人,0.86
5998575,2010,1500,零售业,湖南,合伙企业,自然人,0.74
5984348,2007,910,服务业,江西,股份有限公司,企业法人,0.98
5987131,2011,3700,商业服务业,山东,农民专业合作社,企业法人,0.91
5986692,2007,880,零售业,福建,合伙企业,自然人,0.89
5985062,2000,4690,服务业,江西,农民专业合作社,自然人,0.89
5984976,2005,6760,服务业,广西,合伙企业,企业法人,0.87
5995639,2007,3200,商业服务业,江西,有限责任公司,企业法人,NA
5986580,2009,820,零售业,山东,集体所有制企业,自然人,1
5997331,2014,1530,工业,湖南,集体所有制企业,自然人,0.94
5988783,2000,4720,服务业,山东,合伙企业,企业法人,0.77
5984901,2006,520,交通运输业,广西,股份有限公司,自然人,0.61
5991271,2014,3550,工业,江西,农民专业合作社,企业法人,0.74
5996927,2002,8060,商业服务业,湖北,有限责任公司,企业法人,0.92
5991312,2008,7580,零售业,湖南,股份有限公司,企业法人,0.88
5980279,2004,6540,商业服务业,福建,有限责任公司,企业法人,0.58
5984915,2006,1310,服务业,江西,有限责任公司,自然人,0.81
5999620,2008,8740,服务业,福建,有限责任公司,企业法人,0.66
5994595,2001,5260,零售业,广东,农民专业合作社,企业法人,0.61
5992938,2001,7670,零售业,广东,集体所有制企业,自然人,0.97
5978937,2007,8430,社区服务,广西,农民专业合作社,自然人,0.96
5997860,2011,NA,零售业,湖南,合伙企业,自然人,0.81
5986204,2005,660,商业服务业,湖北,集体所有制企业,自然人,0.66
5998009,2010,3790,NA,湖北,有限责任公司,自然人,0.99
5979663,2008,3730,服务业,江西,农民专业合作社,企业法人,0.89
5983214,2005,9400,工业,山东,合伙企业,自然人,0.64
5987943,2012,1450,商业服务业,广东,集体所有制企业,自然人,0.88
5980086,2004,8330,工业,福建,农民专业合作社,自然人,0.97
5989945,2003,8730,服务业,湖南,股份有限公司,企业法人,0.82
5985534,2013,700,交通运输业,广东,有限责任公司,自然人,0.58
5991645,2013,3060,零售业,福建,合伙企业,自然人,0.65
5996109,2000,5550,零售业,广东,合伙企业,企业法人,0.52
5995888,2005,5960,社区服务,福建,集体所有制企业,自然人,0.72
5987633,2011,6080,服务业,湖北,集体所有制企业,自然人,0.72
5982570,2006,5310,社区服务,山东,集体所有制企业,自然人,0.62
5986823,2011,9310,工业,江西,农民专业合作社,自然人,0.61
5998412,2006,8650,工业,广西,有限责任公司,自然人,0.77
5990616,2007,2030,工业,江西,股份有限公司,企业法人,0.78
5984735,2000,8100,零售业,广东,农民专业合作社,自然人,0.76
5980331,2007,3750,零售业,山东,合伙企业,企业法人,1
5997052,2006,3970,服务业,山东,股份有限公司,企业法人,0.87
5983120,2009,7320,社区服务,湖南,合伙企业,企业法人,0.83
5989720,2008,5010,零售业,福建,集体所有制企业,企业法人,0.55
5984063,2000,5560,交通运输业,福建,股份有限公司,自然人,0.67
5996901,2007,4550,服务业,山东,集体所有制企业,企业法人,0.72
5989226,2007,4230,社区服务,江西,集体所有制企业,自然人,0.71
5986988,2012,2120,零售业,湖北,合伙企业,企业法人,0.78
5979766,2003,9280,工业,湖南,合伙企业,自然人,0.57
5996185,2011,1380,商业服务业,江西,有限责任公司,企业法人,0.92
5993757,2006,5680,商业服务业,湖北,农民专业合作社,企业法人,0.81
5985917,2009,8530,服务业,广东,有限责任公司,企业法人,0.64
5989702,2014,4290,商业服务业,湖南,股份有限公司,企业法人,0.76
5993583,2010,8700,零售业,山东,股份有限公司,自然人,0.72
5982495,2008,NA,服务业,山东,合伙企业,自然人,0.91
5995930,2005,7710,社区服务,湖南,股份有限公司,企业法人,0.55
5979029,2006,9720,零售业,湖北,农民专业合作社,自然人,0.95
5996761,2011,3350,社区服务,湖北,农民专业合作社,自然人,0.85
5987617,2006,8110,商业服务业,湖南,农民专业合作社,企业法人,0.85
5989086,NA,6060,工业,广西,农民专业合作社,自然人,1
5989934,2005,2180,交通运输业,湖北,有限责任公司,自然人,0.78
5998566,2003,5450,工业,湖南,农民专业合作社,自然人,0.75
5982149,2004,3610,社区服务,江西,股份有限公司,企业法人,0.87
5996523,NA,8190,工业,湖南,集体所有制企业,自然人,0.93
5984363,2003,4360,交通运输业,广东,合伙企业,企业法人,0.8
5988163,2000,6300,工业,福建,农民专业合作社,自然人,0.92
5981079,2011,4490,工业,江西,股份有限公司,企业法人,0.53
5985677,2010,6040,零售业,广西,集体所有制企业,企业法人,0.83
5981602,2003,6340,交通运输业,广东,股份有限公司,自然人,NA
5981684,2014,2730,工业,湖南,集体所有制企业,自然人,0.52
5998827,2003,9560,社区服务,山东,农民专业合作社,企业法人,0.66
5993308,2003,9370,零售业,福建,集体所有制企业,企业法人,0.95
5981234,2009,8630,商业服务业,江西,股份有限公司,自然人,0.64
5979713,2012,4310,工业,湖北,农民专业合作社,自然人,0.69
5991812,2004,1380,交通运输业,湖北,有限责任公司,企业法人,0.91
5978840,2012,9530,工业,江西,有限责任公司,企业法人,0.86
5995154,2014,1270,社区服务,湖南,集体所有制企业,企业法人,0.82
5980742,2006,1040,工业,江西,合伙企业,自然人,0.7
5978734,2002,1190,服务业,福建,农民专业合作社,企业法人,0.98
5989189,2011,7500,交通运输业,广东,合伙企业,企业法人,0.55
5999592,2013,9560,服务业,湖北,合伙企业,自然人,0.8
5979491,2003,2610,零售业,山东,股份有限公司,自然人,0.66
5980159,2012,7130,商业服务业,广西,集体所有制企业,企业法人,0.74
5995998,2013,3460,商业服务业,湖南,合伙企业,自然人,0.61
5980519,2009,9820,工业,湖北,集体所有制企业,企业法人,0.54
5999826,NA,1820,商业服务业,广东,合伙企业,企业法人,0.67
5979126,2001,1430,交通运输业,福建,有限责任公司,自然人,0.59
5995287,2001,6650,商业服务业,湖北,合伙企业,自然人,0.52
5978215,2006,7200,服务业,湖南,股份有限公司,企业法人,0.8
5997128,2013,2360,社区服务,湖北,合伙企业,企业法人,0.77
5991955,2001,8150,社区服务,湖南,集体所有制企业,企业法人,0.74
5989031,2014,2950,工业,山东,集体所有制企业,企业法人,0.88
5988408,2006,6880,零售业,江西,有限责任公司,自然人,0.62
5995250,2013,6430,社区服务,山东,集体所有制企业,企业法人,0.93
5983513,2008,9220,社区服务,湖北,农民专业合作社,自然人,0.8
5983865,2013,4280,工业,福建,有限责任公司,自然人,0.97
5978235,2000,2750,商业服务业,广东,集体所有制企业,企业法人,0.72
5982387,2005,2680,商业服务业,山东,有限责任公司,自然人,0.79
5980359,2010,1220,商业服务业,湖南,有限责任公司,自然人,0.51
5996719,2006,500,商业服务业,广东,股份有限公司,自然人,0.78
5985429,2007,9180,交通运输业,山东,农民专业合作社,企业法人,0.72
5984180,2002,8680,服务业,广西,股份有限公司,自然人,0.9
5986946,2010,1420,零售业,湖南,集体所有制企业,自然人,0.51
5992027,2014,5860,社区服务,山东,合伙企业,企业法人,0.9
5989514,2001,9610,零售业,山东,股份有限公司,企业法人,0.98
5997487,2007,6420,服务业,福建,合伙企业,自然人,0.53
5995827,2010,340,交通运输业,山东,股份有限公司,企业法人,0.74
5987726,2006,7860,社区服务,湖南,集体所有制企业,自然人,0.57
5991682,2007,1260,社区服务,广西,合伙企业,企业法人,0.8
5992711,2004,7850,NA,广西,合伙企业,自然人,0.62
5997030,2012,6740,服务业,江西,集体所有制企业,企业法人,0.78
5994013,2012,9200,社区服务,广西,合伙企业,企业法人,0.66
5982170,2003,7360,零售业,广西,农民专业合作社,企业法人,0.57
5986181,2012,6090,社区服务,江西,农民专业合作社,自然人,0.54
5994362,2009,6440,商业服务业,湖北,股份有限公司,自然人,0.81
5998872,2011,4570,交通运输业,湖南,农民专业合作社,自然人,0.96
5986642,2001,3550,商业服务业,福建,股份有限公司,企业法人,0.69
5998360,2004,8730,交通运输业,湖北,集体所有制企业,自然人,0.69
5979777,2003,4630,社区服务,山东,有限责任公司,企业法人,0.63
5979952,2014,170,交通运输业,湖南,农民专业合作社,自然人,0.89
5989652,2007,2090,工业,广西,集体所有制企业,企业法人,0.6
5989682,2009,8090,社区服务,江西,股份有限公司,自然人,0.81
5981449,2009,4280,NA,山东,集体所有制企业,企业法人,0.8
5992572,2001,7320,工业,江西,合伙企业,自然人,0.7
5991079,2001,8280,社区服务,NA,农民专业合作社,自然人,0.57
5987019,2006,1170,零售业,江西,合伙企业,自然人,0.84
5988197,2003,500,交通运输业,江西,股份有限公司,自然人,0.79
5980794,2011,6250,工业,湖南,农民专业合作社,企业法人,0.73
5984639,2010,2590,社区服务,湖北,集体所有制企业,自然人,0.99
5985614,2004,5560,零售业,湖北,集体所有制企业,企业法人,0.57
5981275,2007,2300,服务业,江西,集体所有制企业,企业法人,0.74
5979089,2011,7310,零售业,广东,集体所有制企业,自然人,0.59
5979265,2007,3790,交通运输业,广西,合伙企业,企业法人,0.67
5989352,2002,2780,商业服务业,山东,股份有限公司,企业法人,0.79
5990041,2008,6210,社区服务,湖北,集体所有制企业,自然人,1
5993575,2006,NA,交通运输业,福建,股份有限公司,企业法人,1
5998622,2011,3950,工业,江西,有限责任公司,自然人,0.62
5979243,2006,2170,商业服务业,山东,农民专业合作社,自然人,0.98
5999811,2000,120,商业服务业,福建,农民专业合作社,企业法人,0.97
5995380,2000,3580,社区服务,广东,农民专业合作社,企业法人,0.9
5991129,2012,9370,服务业,广东,农民专业合作社,自然人,0.64
5997138,2007,3790,商业服务业,广西,集体所有制企业,企业法人,0.75
5997048,2004,420,服务业,广西,农民专业合作社,自然人,0.77
5993823,NA,5780,交通运输业,湖北,股份有限公司,企业法人,0.87
5995412,2009,5160,服务业,广西,集体所有制企业,自然人,1
5993530,2007,8550,服务业,湖北,有限责任公司,企业法人,0.91
5980852,2009,7600,服务业,湖南,集体所有制企业,自然人,0.85
5986101,2004,330,工业,山东,农民专业合作社,企业法人,0.66
5994432,2011,2900,商业服务业,广东,股份有限公司,自然人,0.69
5999415,2012,250,服务业,广东,合伙企业,自然人,0.65
5984351,2010,4830,交通运输业,湖南,农民专业合作社,自然人,0.91
5985490,2012,9860,服务业,广东,有限责任公司,自然人,0.71
5995473,2006,6940,零售业,广东,有限责任公司,企业法人,0.97
5981949,2003,3620,社区服务,广东,股份有限公司,企业法人,0.66
5992245,2012,6530,社区服务,江西,有限责任公司,企业法人,0.83
5995615,2014,1550,商业服务业,福建,合伙企业,自然人,0.92
5990359,2012,870,社区服务,福建,股份有限公司,企业法人,0.94
5992608,2010,5240,社区服务,湖北,股份有限公司,自然人,0.72
5987952,2000,8060,工业,山东,集体所有制企业,企业法人,0.55
5992751,2007,8590,零售业,江西,集体所有制企业,自然人,NA
5984709,2005,3130,服务业,广东,合伙企业,自然人,0.83
5981985,2001,570,交通运输业,福建,集体所有制企业,自然人,0.74
5980698,2009,8780,服务业,山东,股份有限公司,自然人,0.52
5990997,2010,100,服务业,广东,股份有限公司,自然人,0.76
5986866,2011,640,服务业,山东,集体所有制企业,自然人,0.88
5991923,2002,8840,社区服务,江西,集体所有制企业,自然人,0.83
5981756,2014,2200,工业,湖南,农民专业合作社,自然人,0.92
5983770,2001,9070,社区服务,NA,股份有限公司,企业法人,0.7
5995181,2002,5970,交通运输业,江西,股份有限公司,自然人,0.98
5978823,2008,2530,社区服务,江西,合伙企业,企业法人,0.95
5984546,2002,3650,商业服务业,广东,农民专业合作社,企业法人,0.89
5978358,2011,870,零售业,湖南,合伙企业,企业法人,0.67
5999888,2001,8440,服务业,福建,NA,自然人,0.91
5986832,2008,6630,交通运输业,湖北,农民专业合作社,企业法人,0.62
5980816,2010,6730,服务业,广西,集体所有制企业,自然人,0.7
5999490,2000,3850,零售业,山东,合伙企业,企业法人,0.7
5987728,2007,2470,社区服务,山东,合伙企业,自然人,0.68
5986244,2005,3370,交通运输业,湖南,农民专业合作社,自然人,0.67
5992169,2014,8150,社区服务,湖南,有限责任公司,企业法人,0.88
5994088,2004,8300,工业,广西,有限责任公司,自然人,0.94
5991648,2005,9790,商业服务业,江西,有限责任公司,自然人,0.61
5991628,2005,6860,商业服务业,广西,股份有限公司,自然人,0.87
5981958,2006,1320,社区服务,湖南,有限责任公司,企业法人,0.54
5999651,2007,9110,交通运输业,广东,合伙企业,企业法人,0.62
5990320,2003,3870,零售业,福建,集体所有制企业,企业法人,0.84
5978410,2002,1170,服务业,山东,农民专业合作社,自然人,0.6
5980795,2008,3920,工业,山东,合伙企业,自然人,0.81
5999848,2004,780,零售业,湖南,NA,自然人,0.51
5998671,2002,3030,零售业,福建,农民专业合作社,企业法人,0.54
5990164,2004,5480,服务业,湖南,农民专业合作社,企业法人,0.93
5982269,2014,5130,工业,山东,有限责任公司,自然人,0.57
5985585,2000,3480,社区服务,福建,合伙企业,自然人,0.85
5999295,2001,3440,服务业,湖南,有限责任公司,自然人,0.99
5991572,2003,7270,社区服务,广东,集体所有制企业,企业法人,0.94
5998126,2002,8040,工业,福建,集体所有制企业,企业法人,0.95
5981347,2001,3880,服务业,山东,有限责任公司,企业法人,0.64
5994194,2009,6030,商业服务业,江西,有限责任公司,企业法人,0.7
5982505,2013,2910,社区服务,广西,集体所有制企业,企业法人,0.91
5989685,2004,7520,交通运输业,湖南,农民专业合作社,自然人,0.98
5993118,2011,5330,工业,江西,股份有限公司,自然人,0.68
5981725,2011,1180,交通运输业,江西,有限责任公司,自然人,0.94
5981964,2008,7380,社区服务,湖南,有限责任公司,自然人,0.51
5985819,2013,7400,工业,江西,农民专业合作社,企业法人,0.9
5993821,2000,1520,零售业,广西,农民专业合作社,企业法人,0.94
5986354,2007,7860,零售业,福建,股份有限公司,企业法人,0.84
5992365,2003,2770,服务业,广东,合伙企业,企业法人,0.86
5995758,2004,4740,工业,广东,股份有限公司,自然人,0.87
5984372,2011,9960,社区服务,福建,农民专业合作社,自然人,0.62
5991291,2013,7790,工业,山东,有限责任公司,自然人,0.63
5998746,2008,1590,交通运输业,江西,有限责任公司,自然人,0.93
5990460,2005,7960,工业,广东,合伙企业,企业法人,0.97
5995514,2010,210,服务业,广西,农民专业合作社,自然人,0.91
5997671,2005,5770,社区服务,广西,有限责任公司,企业法人,0.75
5985455,2008,6730,零售业,湖北,农民专业合作社,企业法人,0.78
5994075,2005,3410,工业,福建,有限责任公司,企业法人,0.79
5984311,2014,6360,商业服务业,湖北,合伙企业,企业法人,0.74
5997485,2014,7770,社区服务,湖北,合伙企业,企业法人,0.53
5978205,2005,1000,交通运输业,湖南,股份有限公司,企业法人,0.66
5986981,2012,9470,商业服务业,广东,农民专业合作社,自然人,0.76
5984643,2003,6620,交通运输业,广东,有限责任公司,自然人,0.64
5995859,2010,1320,零售业,湖南,股份有限公司,企业法人,0.65
5983227,2006,1020,社区服务,广东,合伙企业,企业法人,0.57
5993273,2004,4440,工业,湖北,股份有限公司,自然人,0.51
5999896,2014,3730,工业,湖南,合伙企业,企业法人,0.89
5986259,2013,8580,社区服务,江西,合伙企业,企业法人,0.86
5992367,2009,2820,工业,广西,合伙企业,NA,0.76
5999237,2006,220,工业,广东,合伙企业,自然人,0.63
5986247,2014,2100,服务业,广东,农民专业合作社,企业法人,0.69
5988603,2010,4270,交通运输业,湖北,股份有限公司,企业法人,0.54
5982448,2014,3830,商业服务业,湖南,农民专业合作社,自然人,0.89
5979521,2005,7360,交通运输业,江西,股份有限公司,企业法人,0.94
5985312,2013,7290,零售业,福建,农民专业合作社,企业法人,0.76
5993377,2009,1780,NA,湖北,有限责任公司,自然人,0.66
5986474,2002,4020,工业,广西,有限责任公司,企业法人,0.83
5992833,2012,3770,商业服务业,广东,集体所有制企业,企业法人,0.91
5994161,2002,6730,交通运输业,江西,农民专业合作社,企业法人,0.71
5997716,2009,7190,零售业,福建,合伙企业,自然人,0.66
5995362,2000,310,零售业,湖南,集体所有制企业,企业法人,0.9
5983891,2000,4720,零售业,湖南,集体所有制企业,自然人,0.72
5986422,2004,2990,交通运输业,湖北,集体所有制企业,企业法人,0.55
5983559,2013,9270,商业服务业,山东,合伙企业,自然人,0.99
5987758,2008,7960,社区服务,湖南,集体所有制企业,自然人,0.94
5989104,2000,9550,商业服务业,广东,合伙企业,企业法人,0.98
5997604,2008,5310,商业服务业,广东,集体所有制企业,自然人,0.97
5997402,2010,1810,商业服务业,湖北,农民专业合作社,企业法人,0.76
5993732,2008,6490,服务业,江西,股份有限公司,自然人,0.65
5999387,2002,2360,交通运输业,湖南,集体所有制企业,自然人,0.87
5981332,2014,5540,社区服务,湖北,合伙企业,企业法人,0.95
5999413,2014,8230,交通运输业,广东,股份有限公司,企业法人,0.51
5990029,2011,6970,服务业,福建,集体所有制企业,企业法人,0.86
5985317,2002,1870,交通运输业,山东,股份有限公司,自然人,0.55
5988618,2008,3510,商业服务业,湖北,有限责任公司,自然人,0.9
5996645,2005,7640,零售业,广东,有限责任公司,企业法人,0.66
5980846,2003,7830,商业服务业,湖南,有限责任公司,企业法人,0.55
5988069,2005,6940,零售业,广东,有限责任公司,自然人,0.61
5990212,2005,4780,社区服务,NA,农民专业合作社,企业法人,0.58
5998401,2012,2560,服务业,湖南,NA,企业法人,0.8
5979341,2010,8100,社区服务,福建,有限责任公司,企业法人,0.85
5992307,2008,8700,工业,广东,农民专业合作社,自然人,0.82
5999598,2009,3970,工业,湖北,农民专业合作社,自然人,0.8
5994599,2011,3050,社区服务,福建,股份有限公司,自然人,0.58
