ID,专利,商标,著作权
5978573,1,1,1
5978574,0,0,0
5978575,0,0,0
5978577,1,1,1
5978578,0,0,0
5978579,0,0,0
5978581,0,1,1
5978582,0,0,0
5978584,0,1,1
5978585,1,0,1
5978586,0,0,0
5978588,0,0,0
5978589,0,0,0
5978590,0,0,0
5978591,0,1,1
5978592,0,0,1
5978594,1,1,1
5978595,0,1,1
5978596,1,1,0
5978597,1,1,1
5978600,1,1,0
5978601,0,0,0
5978602,0,0,1
5978603,0,0,1
5978604,0,0,0
5978605,0,1,1
5978606,0,0,1
5978607,1,1,0
5978608,0,0,0
5978609,0,1,1
5978610,1,1,1
5978611,0,0,1
5978612,0,0,1
5978613,1,1,0
5978614,0,0,0
5978617,1,1,1
5978618,0,1,1
5978625,0,1,1
5978626,1,NA,0
5978627,0,0,0
5978628,1,1,1
5978630,0,1,1
5978631,0,0,0
5978632,0,1,1
5978633,0,1,1
5978634,0,0,0
5978635,1,1,1
5978636,0,1,1
5978637,0,0,0
5978638,0,0,0
5978639,0,0,0
5978640,1,1,0
5978641,0,1,1
5978642,0,0,1
5978643,1,0,0
5978644,0,0,0
5978646,0,0,1
5978647,0,0,0
5978648,0,0,0
5978649,0,0,0
5978650,0,1,0
5978651,0,1,1
5978652,1,1,1
5978653,0,0,0
5978656,0,NA,0
5978657,1,0,1
5978658,1,1,1
5978659,0,0,0
5978660,0,0,0
5978661,1,0,1
5978662,0,0,0
5978663,1,0,0
5978664,0,0,0
5978665,0,1,1
5978666,0,0,0
5978667,0,0,1
5978668,0,0,0
5978670,0,0,0
5978671,1,1,0
5978672,1,1,1
5978674,0,0,1
5978675,0,0,1
5978676,0,0,0
5978677,0,0,NA
5978678,NA,0,0
5978679,1,1,1
5978680,0,0,0
5978681,0,0,0
5978682,0,0,0
5978683,1,1,0
5978686,0,0,0
5978687,0,1,1
5978688,0,0,0
5978689,1,0,1
5978690,0,1,1
5978693,1,1,0
5978694,0,0,0
5978695,1,0,0
5978696,0,0,1
5978698,1,1,1
5978699,1,1,1
5978700,1,1,1
5978701,1,1,0
5978702,1,0,1
5978703,0,1,1
5978704,0,1,1
5978705,0,0,0
5978706,1,0,0
5978708,1,1,0
5978709,0,1,1
5978710,1,0,1
5978711,0,1,0
5978712,1,1,1
5978713,1,1,0
5978714,1,1,0
5978716,1,1,0
5978717,0,0,0
5978718,1,1,0
5978719,0,0,0
5978720,0,0,0
5978721,1,0,0
5978722,1,0,1
5978723,0,0,0
5978724,1,0,1
5978725,1,1,0
5978727,0,0,0
5978728,0,1,1
5978729,1,1,1
5978730,1,0,1
5978731,0,0,0
5978732,1,0,1
5978734,0,1,1
5978735,0,0,0
5978736,1,1,1
5978737,1,1,1
5978738,1,0,1
5978739,0,0,1
5978741,1,0,1
5978742,0,1,1
5978743,0,0,0
5978744,0,0,0
5978745,1,0,0
5978746,1,1,0
5978751,0,0,0
5978753,1,1,0
5978754,0,0,1
5978755,0,0,0
5978756,0,1,1
5978757,0,0,0
5978758,1,1,0
5978759,0,1,0
5978760,1,0,0
5978761,0,1,0
5978763,0,0,0
5978764,0,1,0
5978765,0,1,1
5978767,0,0,0
5978768,1,0,1
5978769,1,1,1
5978770,0,0,0
5978771,1,1,1
5978774,0,0,0
5978775,0,0,0
5978778,1,0,0
5978781,1,0,0
5978785,0,0,0
5978786,0,0,0
5978787,1,1,0
5978788,0,0,0
5978790,1,1,1
5978791,1,1,0
5978793,1,0,1
5978794,1,0,1
5978796,0,0,0
5978797,0,1,1
5978798,1,1,0
5978801,0,0,0
5978802,1,0,1
5978804,0,0,0
5978805,0,0,0
5978806,1,1,1
5978808,0,0,0
5978809,0,0,0
5978810,1,1,0
5978811,NA,0,0
5978812,0,1,1
5978813,1,NA,1
5978814,1,0,1
5978815,1,1,0
5978816,1,1,0
5978817,0,0,0
5978818,0,0,0
5978819,0,0,0
5978820,0,0,0
5978822,1,1,0
5978823,0,0,0
5978824,0,0,0
5978825,0,0,0
5978827,0,1,0
5978828,1,0,1
5978829,0,0,0
5978830,0,0,0
5978831,1,0,1
5978832,0,1,1
5978834,0,1,1
5978835,0,0,1
5978836,1,1,1
5978838,0,0,0
5978839,1,1,0
5978840,1,1,1
5978842,0,1,0
5978843,0,1,1
5978844,1,0,0
5978845,0,0,0
5978846,0,0,0
5978848,1,1,0
5978850,0,0,1
5978851,0,1,1
5978852,0,0,0
5978853,1,0,1
5978854,0,0,0
5978856,1,1,1
5978857,0,0,0
5978858,1,1,1
5978860,0,0,0
5978861,0,0,0
5978862,0,0,0
5978863,0,1,1
5978864,0,0,0
5978866,0,1,1
5978867,0,1,1
5978869,0,0,0
5978871,1,1,1
5978872,0,0,0
5978873,0,0,0
5978874,0,0,0
5978875,1,0,1
5978876,0,1,1
5978878,0,0,0
5978879,0,0,0
5978880,0,0,0
5978881,0,1,1
5978882,1,0,1
5978883,1,0,1
5978885,0,0,0
5978887,0,0,0
5978888,1,1,1
5978889,0,0,0
5978890,0,0,0
5978891,0,0,0
5978892,0,0,0
5978893,0,0,0
5978895,1,1,0
5978896,0,0,0
5978897,1,1,1
5978898,0,1,1
5978899,0,0,0
5978900,1,1,NA
5978902,0,1,1
5978903,0,0,0
5978904,0,0,0
5978906,1,1,0
5978907,0,1,1
5978908,0,0,0
5978909,1,1,0
5978910,0,0,0
5978911,1,0,0
5978912,0,0,0
5978914,1,1,0
5978915,0,0,0
5978916,0,0,0
5978917,0,0,0
5978918,0,0,0
5978919,0,0,0
5978920,0,0,0
5978922,0,0,0
5978923,1,1,1
5978924,0,0,0
5978925,0,0,0
5978926,0,1,1
5978927,0,1,0
5978930,1,0,0
5978931,0,0,0
5978933,0,1,1
5978934,1,1,1
5978935,0,0,0
5978936,0,0,0
5978937,1,1,1
5978938,1,1,1
5978939,0,1,0
5978940,1,1,0
5978941,0,1,1
5978942,0,0,0
5978943,0,0,0
5978944,0,0,0
5978945,1,1,0
5978946,1,1,1
5978947,0,0,0
5978948,0,0,0
5978949,0,1,1
5978950,1,1,0
5978951,0,0,0
5978952,0,0,0
5978954,0,0,1
5978955,1,1,1
5978956,0,0,0
5978958,0,0,0
5978959,1,0,1
5978960,0,1,1
5978961,1,1,1
5978962,0,1,1
5978963,0,1,1
5978964,0,0,1
5978965,1,0,1
5978966,0,1,1
5978967,0,0,0
5978968,0,0,0
5978970,1,0,0
5978971,1,1,1
5978972,1,1,0
5978973,0,1,1
5978974,1,0,0
5978975,0,0,1
5978977,1,0,0
5978978,0,1,1
5978979,0,1,0
5978980,1,1,1
5978981,1,1,0
5978982,1,0,1
5978983,0,0,0
5978984,0,0,0
5978985,1,1,0
5978986,0,0,0
5978988,1,1,0
5978989,0,0,0
5978990,1,0,1
5978991,0,0,0
5978992,0,0,0
5978993,0,0,0
5978994,0,0,1
5978995,0,0,0
5978996,0,0,0
5978998,1,0,1
5978999,0,0,0
5979001,0,0,0
5979002,0,1,0
5979003,0,0,0
5979004,0,0,0
5979005,0,0,0
5979006,0,1,1
5979008,0,0,0
5979009,0,0,1
5979010,0,0,0
5979011,0,1,1
5979013,0,0,0
5979015,0,0,0
5979016,0,0,0
5979019,1,1,0
5979020,1,1,0
5979023,0,0,1
5979024,0,1,1
5979025,1,0,1
5979026,0,0,0
5979027,0,1,0
5979028,1,1,1
5979029,0,1,1
5979030,1,0,1
5979032,1,0,0
5979034,1,0,1
5979036,1,1,0
5979037,0,0,0
5979038,1,0,1
5979040,0,1,1
5979041,1,0,0
5979044,1,0,1
5979046,1,0,1
5979048,0,0,0
5979049,0,1,1
5979050,1,1,0
5979051,1,1,1
5979054,0,0,1
5979055,0,1,1
5979056,0,0,1
5979057,1,0,1
5979058,0,0,0
5979059,1,1,1
5979061,0,0,0
5979062,1,0,1
5979063,1,1,0
5979065,0,0,0
5979066,1,0,0
5979068,0,0,0
5979070,0,0,0
5979072,1,1,1
5979073,1,0,1
5979075,0,0,0
5979076,0,0,0
5979078,0,0,0
5979080,0,1,1
5979081,1,0,1
5979082,0,0,0
5979083,0,0,0
5979084,0,0,0
5979085,0,0,0
5979087,1,1,0
5979088,0,0,0
5979089,1,0,1
5979090,0,0,0
5979091,0,0,0
5979093,1,1,1
5979094,0,1,1
5979095,1,0,1
5979096,0,0,NA
5979097,0,0,0
5979099,1,1,0
5979100,0,0,0
5979101,0,0,0
5979104,0,0,0
5979105,0,0,0
5979106,0,0,0
5979108,0,0,0
5979109,0,1,1
5979110,0,0,0
5979111,0,0,0
5979112,0,0,0
5979113,0,0,0
5979114,1,0,1
5979115,0,0,0
5979116,1,1,1
5979117,0,0,0
5979119,0,0,0
5979121,0,0,0
5979122,0,0,0
5979123,0,0,1
5979124,0,0,0
5979125,0,0,0
5979126,0,1,1
5979127,0,0,0
5979128,0,1,1
5979129,0,0,0
5979131,0,0,0
5979132,0,0,0
5979134,0,0,1
5979135,0,0,0
5979136,1,0,1
5979137,0,1,NA
5979138,0,0,0
5979139,0,0,0
5979140,0,0,0
5979141,1,1,0
5979143,0,1,1
5979144,1,1,0
5979145,1,0,1
5979146,0,0,0
5979147,0,0,0
5979148,0,0,0
5979149,0,1,1
5979150,1,0,1
5979151,0,0,0
5979153,0,0,0
5979154,0,0,0
5979157,1,0,1
5979158,0,0,0
5979159,0,0,1
5979160,0,1,0
5979161,0,0,0
5979162,0,0,1
5979163,1,1,0
5979164,0,0,0
5979166,0,1,1
5979167,0,1,1
5979170,1,1,0
5979171,0,0,0
5979173,0,0,0
5979174,0,1,1
5979176,1,0,1
5979177,1,1,0
5979178,0,1,1
5979182,0,0,1
5979185,0,0,0
5979186,0,0,0
5979187,1,1,1
5979189,0,0,0
5979191,0,1,1
5979192,1,1,1
5979194,0,0,0
5979195,0,0,0
5979196,0,0,0
5979197,0,0,0
5979198,1,0,1
5979199,0,0,0
5979200,1,1,0
5979201,1,1,0
5979202,0,0,0
5979205,0,1,1
5979206,1,1,1
5979207,1,1,0
5979208,0,0,0
5979209,0,0,0
5979210,0,0,0
5979212,0,0,0
5979213,1,0,1
5979214,0,0,0
5979215,0,0,0
5979216,1,0,1
5979217,0,0,1
5979218,1,0,1
5979219,0,0,0
5979220,1,1,0
5979222,0,0,0
5979223,0,0,0
5979224,1,1,1
5979226,0,0,0
5979229,1,0,1
5979230,0,0,0
5979231,0,0,0
5979233,1,0,1
5979234,1,1,1
5979237,0,1,0
5979238,0,0,0
5979239,0,0,0
5979240,0,0,1
5979242,0,0,0
5979243,0,0,1
5979244,0,1,1
5979245,0,0,0
5979246,1,1,1
5979247,0,0,0
5979248,0,1,0
5979250,1,0,1
5979251,0,0,0
5979252,1,0,1
5979253,0,0,0
5979254,1,1,0
5979255,1,1,0
5979256,1,1,0
5979257,1,0,1
5979259,0,0,1
5979260,0,1,1
5979261,1,1,0
5979262,0,1,0
5979263,0,0,0
5979264,0,1,1
5979265,1,0,1
5979266,0,1,1
5979269,0,0,1
5979270,1,1,0
5979274,1,0,0
5979275,0,0,0
5979276,0,0,0
5979277,1,0,1
5979278,1,1,0
5979279,0,0,0
5979280,1,1,1
5979281,1,0,0
5979282,0,1,1
5979283,0,0,0
5979284,0,0,0
5979285,0,0,0
5979286,0,0,0
5979287,0,0,0
5979288,0,0,0
5979289,0,1,1
5979291,0,0,0
5979292,0,0,0
5979294,0,1,0
5979295,1,1,1
5979296,1,0,1
5979297,0,0,0
5979298,0,0,0
5979299,0,0,0
5979300,1,1,1
5979301,0,1,1
5979302,0,0,0
5979303,1,0,1
5979305,1,0,0
5979306,0,0,0
5979307,0,0,0
5979308,0,0,0
5979309,0,0,0
5979310,1,0,1
5979311,1,1,0
5979312,0,0,0
5979314,0,0,0
5979316,0,0,0
5979317,0,0,0
5979318,0,0,0
5979319,1,1,1
5979320,1,1,1
5979321,0,1,1
5979322,0,NA,0
5979324,0,1,1
5979325,0,1,0
5979326,0,0,0
5979327,0,0,0
5979328,0,1,0
5979329,1,0,1
5979330,0,1,1
5979331,0,0,0
5979332,1,1,0
5979333,0,0,0
5979334,0,0,0
5979335,1,0,1
5979336,1,1,1
5979337,1,1,0
5979338,0,0,0
5979339,0,0,0
5979340,0,0,0
5979341,0,0,0
5979343,1,1,1
5979344,0,0,0
5979345,0,0,0
5979346,0,1,1
5979347,0,0,0
5979351,1,0,1
5979352,0,1,0
5979353,0,0,0
5979354,0,0,0
5979355,1,0,1
5979356,0,1,1
5979357,1,1,1
5979358,0,1,1
5979360,0,0,0
5979361,1,1,1
5979362,0,0,0
5979363,0,0,0
5979365,0,0,0
5979366,1,1,0
5979370,1,1,1
5979371,0,1,1
5979372,0,0,0
5979373,1,1,0
5979374,1,0,0
5979375,0,1,1
5979376,0,0,0
5979377,0,1,0
5979378,0,0,0
5979379,0,0,0
5979380,0,0,0
5979381,0,0,1
5979382,0,0,0
5979383,0,1,1
5979384,0,0,0
5979386,0,0,0
5979387,0,1,1
5979388,0,0,0
5979391,0,0,0
5979392,0,0,0
5979393,0,1,1
5979395,0,0,1
5979396,0,0,0
5979398,0,1,1
5979399,0,0,0
5979400,0,1,0
5979401,1,0,1
5979402,0,1,0
5979403,0,0,0
5979404,0,0,0
5979405,0,0,0
5979406,0,0,0
5979407,0,0,0
5979408,1,0,1
5979409,0,1,0
5979410,0,0,0
5979411,0,0,1
5979413,0,0,0
5979414,1,1,1
5979415,0,0,0
5979417,0,1,0
5979418,0,1,1
5979419,0,1,1
5979421,0,1,1
5979422,1,1,0
5979423,0,0,1
5979424,1,1,1
5979425,0,0,0
5979427,0,0,0
5979429,1,1,0
5979433,0,1,1
5979434,0,0,0
5979435,0,0,0
5979436,0,0,0
5979437,1,1,1
5979439,0,0,0
5979440,0,0,0
5979441,0,0,0
5979442,0,0,0
5979444,0,1,1
5979445,0,0,0
5979447,0,1,1
5979448,0,0,0
5979449,0,0,0
5979450,0,1,1
5979451,0,0,0
5979452,0,0,1
5979453,0,1,1
5979454,0,1,1
5979455,0,0,0
5979457,1,1,0
5979458,0,1,0
5979460,0,1,1
5979461,0,0,0
5979465,0,0,1
5979466,0,0,0
5979467,1,0,0
5979469,0,0,0
5979470,0,0,0
5979471,0,1,0
5979472,1,1,1
5979473,0,0,0
5979474,1,0,0
5979477,1,0,0
5979478,1,1,0
5979479,0,0,0
5979481,0,1,1
5979482,0,1,0
5979484,0,0,0
5979485,0,0,0
5979486,0,1,1
5979487,0,0,0
5979488,0,0,1
5979489,0,0,0
5979490,0,1,1
5979491,0,0,0
5979492,0,0,0
5979494,0,0,0
5979495,0,0,0
5979496,0,0,1
5979497,1,0,1
5979498,0,0,0
5979499,0,0,0
5979500,0,1,1
5979501,0,1,1
5979502,0,1,1
5979504,1,1,0
5979505,0,0,0
5979507,0,1,0
5979508,0,1,0
5979510,0,1,1
5979511,0,1,1
5979512,0,1,0
5979513,0,1,0
5979515,0,1,1
5979516,0,1,1
5979517,0,1,1
5979518,1,1,0
5979519,0,0,0
5979520,1,1,1
5979521,0,0,0
5979522,1,1,0
5979523,0,0,0
5979524,1,0,0
5979525,0,0,0
5979526,0,0,0
5979527,0,0,0
5979529,0,0,0
5979530,1,1,0
5979531,1,0,1
5979532,0,1,0
5979533,0,0,0
5979534,1,0,1
5979535,1,0,1
5979536,1,1,0
5979538,0,0,1
5979539,1,0,1
5979540,0,0,1
5979541,0,0,0
5979542,0,1,1
5979543,0,1,1
5979545,1,0,1
5979546,1,1,0
5979548,0,0,0
5979550,0,0,0
5979552,0,0,0
5979553,0,1,1
5979554,1,0,0
5979555,0,0,0
5979556,0,1,1
5979557,0,1,1
5979558,0,0,0
5979559,1,0,0
5979560,0,0,0
5979561,1,0,0
5979563,0,0,0
5979564,0,0,0
5979565,1,0,1
5979566,0,0,0
5979567,1,0,0
5979568,0,0,0
5979569,0,0,1
5979571,0,0,0
5979573,0,1,0
5979574,0,1,1
5979577,1,1,1
5979580,0,0,0
5979581,0,0,0
5979582,0,1,1
5979583,0,0,0
5979584,0,0,0
5979585,0,NA,1
5979588,0,0,0
5979589,1,1,1
5979594,1,0,1
5979595,0,0,0
5979596,0,0,0
5979599,0,0,0
5979600,1,1,1
5979601,0,1,1
5979603,1,1,1
5979605,0,0,0
5979606,0,0,0
5979607,0,0,0
5979608,0,0,0
5979609,1,1,0
5979610,1,1,1
5979611,0,0,0
5979612,0,1,0
5979614,0,0,0
5979615,1,0,1
5979616,0,0,0
5979617,0,0,1
5979618,1,0,1
5979619,0,0,0
5979620,0,0,0
5979621,0,0,0
5979623,0,0,0
5979624,1,0,1
5979625,0,0,0
5979626,1,1,0
5979627,1,1,0
5979628,1,0,1
5979629,0,0,0
5979631,0,0,0
5979632,0,0,0
5979633,0,0,1
5979634,0,0,0
5979635,0,0,0
5979637,1,0,1
5979638,1,0,1
5979640,0,0,0
5979641,0,0,0
5979642,1,0,1
5979643,0,0,0
5979644,1,0,1
5979645,1,1,1
5979646,0,1,1
5979650,0,0,0
5979651,1,0,0
5979653,0,0,0
5979654,0,0,0
5979655,0,0,0
5979656,1,0,0
5979657,0,0,0
5979660,1,0,1
5979661,0,1,1
5979662,0,1,1
5979663,1,1,1
5979664,1,1,1
5979665,0,0,0
5979666,1,1,0
5979667,0,0,0
5979669,1,0,1
5979670,0,1,1
5979671,1,1,1
5979675,0,0,0
5979676,1,1,0
5979680,0,0,0
5979681,1,0,1
5979682,0,0,0
5979683,1,0,0
5979685,1,0,1
5979686,0,1,1
5979687,0,0,0
5979688,0,0,0
5979689,0,0,0
5979692,0,0,1
5979694,0,0,0
5979695,1,0,1
5979696,0,0,0
5979697,1,0,1
5979698,1,0,0
5979699,0,1,0
5979700,1,1,0
5979701,1,1,1
5979702,0,0,0
5979703,0,0,0
5979704,0,0,0
5979705,0,0,0
5979707,0,1,1
5979708,0,0,0
5979709,0,1,1
5979710,0,1,0
5979711,1,0,1
5979712,0,0,0
5979713,0,0,1
5979714,0,0,0
5979715,1,1,0
5979716,0,0,0
5979717,0,1,1
5979718,1,0,NA
5979719,1,0,1
5979720,1,0,1
5979721,0,0,0
5979723,0,0,0
5979725,0,0,0
5979726,0,0,0
5979728,0,0,0
5979732,0,0,0
5979735,0,1,1
5979736,0,0,0
5979737,0,0,0
5979738,0,1,0
5979739,1,1,0
5979740,0,0,0
5979741,0,0,0
5979742,0,1,1
5979743,1,1,1
5979745,0,0,0
5979746,1,1,1
5979747,1,1,1
5979748,0,0,0
5979749,1,0,1
5979750,0,1,1
5979751,0,1,1
5979752,0,0,0
5979754,0,0,0
5979755,0,0,0
5979756,0,0,0
5979762,1,0,1
5979764,1,1,0
5979766,0,0,0
5979768,1,0,0
5979769,1,0,1
5979770,1,0,1
5979771,1,1,1
5979773,0,0,0
5979774,1,1,1
5979775,1,0,1
5979776,0,0,NA
5979777,0,0,0
5979778,0,0,0
5979779,NA,0,0
5979780,0,0,0
5979781,1,1,0
5979782,0,0,0
5979783,0,1,1
5979784,0,0,0
5979785,0,0,0
5979786,1,0,0
5979787,1,1,1
5979788,1,1,0
5979791,1,0,1
5979792,0,0,0
5979793,0,0,0
5979794,0,0,0
5979795,0,1,1
5979796,1,0,1
5979798,1,0,1
