ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
5978322,2015,0,0,0,0,0,0,632.8,37.968
5978323,2015,0,0,0,0,289170,17350.2,0,0
5978324,2015,10032,802.56,0,0,0,0,0,0
5978325,2015,0,0,7867.68,314.7072,0,NA,0,0
5978326,2015,0,0,0,0,0,0,2156,129.36
5978327,2015,0,0,0,0,16405.2,984.312,0,0
5978329,2015,0,0,0,0,0,0,1332,79.92
5978330,2015,346,27.68,0,0,0,NA,0,0
5978331,2015,616,49.28,0,0,0,0,0,0
5978332,2015,4830,386.4,0,0,0,0,0,0
5978333,2015,13416,1073.28,0,0,0,0,0,0
5978334,2015,0,0,0,0,188928,11335.68,0,0
5978335,2015,0,0,0,0,221414.4,13284.864,0,0
5978336,2015,0,0,0,0,117936,7076.16,0,0
5978337,2015,0,0,0,0,0,0,NA,429.12
5978338,2015,20090,1607.2,0,0,0,0,0,0
5978339,2015,0,0,0,0,NA,354.96,0,0
5978340,2015,0,0,16948.8,677.952,0,0,0,0
5978341,2015,0,0,0,0,5389.2,323.352,0,0
5978342,2015,0,0,47880,1915.2,0,0,0,0
5978343,2015,0,0,2492.16,99.6864,0,0,0,0
5978345,2015,0,0,0,0,51480,3088.8,0,0
5978346,2015,0,0,545.58,21.8232,0,0,0,0
5978347,2015,0,0,51179.52,2047.1808,0,0,0,0
5978348,2015,0,0,9223.2,368.928,0,0,0,0
5978349,2015,0,0,0,0,46170,2770.2,0,0
5978350,2015,0,0,48960,1958.4,0,0,NA,0
5978351,2015,0,0,3278.64,131.1456,0,0,0,0
5978352,2015,0,0,0,0,12420,745.2,0,0
5978353,2015,0,0,0,0,0,0,8424,505.44
5978354,2015,3040,243.2,0,0,0,0,0,0
5978355,2015,0,0,0,0,449064,26943.84,0,0
5978356,2015,0,0,0,0,419328,25159.68,0,0
5978357,2015,NA,0,0,0,37697.4,2261.844,0,0
5978358,2015,0,0,0,0,0,0,69.6,4.176
5978359,2015,5550,444,0,0,0,0,0,0
5978360,2015,0,0,0,0,0,0,1303.2,78.192
5978361,2015,0,0,0,0,8920.8,535.248,0,0
5978362,2015,0,0,0,0,31718.4,1903.104,0,0
5978363,2015,0,0,0,0,0,0,2759.4,165.564
5978364,2015,5352,428.16,0,0,0,0,0,0
5978365,2015,0,0,0,0,0,0,4840,290.4
5978366,2015,0,0,497.52,19.9008,0,0,0,0
5978367,2015,0,0,43380,1735.2,0,0,0,0
5978368,2015,0,0,30374.4,1214.976,0,0,0,0
5978371,2015,0,0,104.4,4.176,0,0,0,0
5978372,2015,NA,0,0,0,713563.5,42813.81,0,0
5978373,2015,0,0,0,0,19404,1164.24,0,0
5978374,2015,0,NA,0,0,0,0,2864.4,171.864
5978375,2015,0,0,0,0,219375,13162.5,0,0
5978376,2015,0,0,3708,148.32,0,0,0,0
5978377,2015,0,0,0,0,143337.6,8600.256,0,0
5978379,2015,0,0,1486.32,59.4528,0,0,0,0
5978380,2015,10296,823.68,0,0,0,0,0,0
5978382,2015,3624,289.92,0,0,0,0,0,0
5978383,2015,0,0,0,0,0,0,3709.2,222.552
5978385,2015,0,0,0,0,12810,768.6,0,0
5978387,2015,5902,472.16,0,0,0,0,0,0
5978388,2015,0,0,3648.96,145.9584,0,0,0,0
5978389,2015,0,0,184,7.36,0,0,0,0
5978390,2015,0,0,31257.6,1250.304,0,0,0,0
5978391,2015,0,0,0,0,661248,39674.88,0,0
5978392,2015,0,0,0,0,350550,21033,0,0
5978393,2015,5808,464.64,0,0,0,0,0,0
5978394,2015,4130,330.4,0,0,0,0,0,0
5978395,2015,0,0,36547.2,1461.888,0,0,0,0
5978397,2015,560,44.8,0,0,0,0,0,0
5978400,2015,0,0,0,0,210834,12650.04,0,0
5978402,2015,0,0,0,0,3112.2,186.732,0,0
5978403,2015,0,0,0,0,0,0,1984.8,119.088
5978404,2015,2604,208.32,0,0,0,0,0,0
5978406,2015,0,0,0,0,2862,171.72,0,0
5978407,2015,0,0,0,0,0,0,982.8,58.968
5978408,2015,0,0,0,0,52108.8,3126.528,0,0
5978409,2015,1542,123.36,0,0,0,0,0,0
5978410,2015,0,0,0,0,0,0,1216.8,73.008
5978411,2015,0,0,0,0,0,0,67.2,4.032
5978413,2015,0,0,0,0,66081.6,3964.896,0,0
5978414,2015,17360,1388.8,0,0,0,0,0,0
5978415,2015,0,0,1382.4,55.296,0,0,0,0
5978417,2015,276,22.08,0,0,0,0,0,0
5978418,2015,0,0,0,0,188832,11329.92,0,0
5978419,2015,0,0,0,0,17856,1071.36,0,0
5978420,2015,0,0,4485.6,179.424,0,0,0,0
5978421,2015,0,0,0,0,0,0,3912,234.72
5978423,2015,0,0,0,0,0,0,23880,1432.8
5978424,2015,0,0,0,0,0,0,5709,342.54
5978425,2015,0,0,0,0,0,0,486,29.16
5978426,2015,0,0,0,0,75873.6,4552.416,0,0
5978428,2015,0,0,7139.52,285.5808,0,0,0,0
5978429,2015,5676,454.08,0,0,0,0,0,0
5978430,2015,0,NA,0,0,0,0,1005.4,60.324
5978431,2015,0,0,0,0,241632,14497.92,0,0
5978432,2015,0,0,0,0,243196.8,14591.808,0,0
5978435,2015,0,0,0,0,14400,864,0,0
5978436,2015,0,0,0,0,0,0,1687.5,101.25
5978437,2015,0,0,0,0,0,0,3038.4,182.304
5978438,2015,4050,324,0,0,0,0,0,0
5978439,2015,18722,1497.76,0,0,0,0,0,0
5978440,2015,726,58.08,0,0,0,0,0,0
5978441,2015,0,0,89500.32,3580.0128,0,0,0,0
5978443,2015,0,0,7504.64,300.1856,0,0,0,0
5978444,2015,23304,1864.32,0,0,0,0,0,0
5978445,2015,0,0,15776,631.04,0,0,0,0
5978446,2015,0,0,0,0,203212.8,12192.768,0,0
5978447,2015,0,0,0,0,10752,645.12,0,0
5978448,2015,0,0,0,0,NA,0,183.2,10.992
5978449,2015,0,0,0,0,0,0,10004.8,600.288
5978450,2015,0,0,0,0,0,0,756.8,45.408
5978453,2015,0,0,0,0,0,0,7740,464.4
5978454,2015,5220,417.6,0,0,0,0,0,0
5978455,2015,4840,387.2,0,0,0,0,0,0
5978457,2015,0,0,0,0,50563.2,3033.792,0,0
5978458,2015,7983,638.64,0,0,0,0,0,0
5978459,2015,0,0,0,0,41083.2,2464.992,0,0
5978462,2015,0,0,0,0,0,0,259.2,15.552
5978464,2015,7540,603.2,0,0,0,0,0,0
5978465,2015,3107,248.56,0,0,0,0,0,0
5978466,2015,5232,418.56,0,NA,0,0,0,0
5978467,2015,3848,307.84,0,0,0,0,0,0
5978468,2015,0,0,0,0,0,0,2424,145.44
5978469,2015,0,0,0,0,0,0,2685.6,161.136
5978470,2015,0,0,0,0,0,0,3333.6,200.016
5978471,2015,0,0,24514.56,980.5824,0,0,0,0
5978472,2015,0,0,0,0,98290.5,5897.43,0,0
5978473,2015,0,0,316.8,12.672,0,0,0,0
5978474,2015,0,0,0,0,0,0,2452.8,147.168
5978475,2015,0,0,0,0,178983,10738.98,0,0
5978476,2015,14157,1132.56,0,0,0,0,0,0
5978477,2015,21600,1728,0,0,0,0,0,0
5978478,2015,22050,1764,0,0,0,0,0,0
5978479,2015,0,0,0,0,31428,1885.68,0,0
5978480,2015,0,0,5520,220.8,0,0,0,0
5978482,2015,30360,2428.8,0,0,0,0,0,0
5978483,2015,0,0,39251.52,1570.0608,0,0,0,0
5978486,2015,0,0,0,0,0,0,1728,103.68
5978487,2015,960,76.8,0,0,0,0,0,0
5978488,2015,0,0,0,0,0,0,419.4,25.164
5978489,2015,6320,505.6,0,0,0,0,0,0
5978490,2015,0,0,0,0,0,0,2493,149.58
5978491,2015,8745,699.6,0,0,0,0,0,0
5978494,2015,560,44.8,0,0,0,0,0,NA
5978495,2015,0,0,0,0,0,0,672,40.32
5978496,2015,0,0,0,0,0,0,3036.6,NA
5978497,2015,0,0,0,0,34214.4,2052.864,0,0
5978499,2015,0,0,0,0,24708.6,1482.516,0,0
5978501,2015,0,0,19667.2,786.688,0,0,0,0
5978503,2015,0,0,0,0,0,0,3619.2,217.152
5978505,2015,0,0,0,0,44193.6,2651.616,0,0
5978506,2015,0,0,0,0,27139.2,1628.352,0,0
5978507,2015,0,0,3610.8,144.432,0,0,0,0
5978509,2015,0,0,0,0,0,0,NA,9.792
5978510,2015,11487,918.96,0,0,0,0,0,0
5978511,2015,0,0,58893.12,2355.7248,0,0,0,0
5978512,2015,0,0,0,0,0,0,388.5,23.31
5978514,2015,0,0,0,0,0,0,2383.5,143.01
5978515,2015,0,0,0,0,17640,1058.4,0,0
5978517,2015,0,0,69020.16,2760.8064,0,0,0,0
5978518,2015,0,0,0,0,0,0,44.4,2.664
5978519,2015,0,0,0,0,0,0,771.1,46.266
5978520,2015,0,0,171.36,6.8544,0,0,0,0
5978522,2015,0,0,0,0,48165.6,2889.936,0,0
5978523,2015,0,0,0,0,0,0,1541.1,92.466
5978524,2015,0,0,0,0,0,0,11400,684
5978525,2015,0,0,1926.72,77.0688,0,0,0,0
5978526,2015,0,0,10680,427.2,0,0,0,0
5978527,2015,0,0,78798.72,3151.9488,0,0,0,0
5978528,2015,0,0,0,0,42595.2,2555.712,0,0
5978529,2015,0,NA,0,0,95760,5745.6,0,0
5978530,2015,0,0,4883.2,195.328,0,0,0,0
5978531,2015,5733,458.64,0,0,0,0,0,0
5978532,2015,0,0,0,0,0,0,969.6,58.176
5978533,2015,0,0,0,0,122085.6,7325.136,0,0
5978534,2015,0,0,0,0,321609.6,19296.576,0,0
5978535,2015,59345,4747.6,0,0,0,0,0,0
5978536,NA,0,0,0,0,11952,717.12,0,0
5978537,2015,0,0,0,0,562464,33747.84,0,0
5978539,2015,0,0,0,0,11203.2,672.192,0,0
5978540,2015,2856,NA,0,0,0,0,0,0
5978541,2015,0,0,0,0,0,0,840,50.4
5978542,2015,0,0,1985.28,79.4112,0,0,0,0
5978543,2015,0,0,0,0,98160,5889.6,0,0
5978544,2015,285,22.8,0,0,0,0,0,0
5978545,2015,0,0,0,0,0,0,4336.2,260.172
5978546,2015,0,0,0,0,0,0,887.5,53.25
5978547,2015,15732,1258.56,0,0,0,0,0,0
5978548,2015,0,0,50616,2024.64,0,0,0,0
5978549,2015,0,0,7903.2,316.128,0,0,0,0
5978550,2015,0,0,0,0,0,0,440.5,26.43
5978551,2015,0,0,0,0,0,0,742.5,44.55
5978552,2015,0,0,0,0,125798.4,7547.904,0,0
5978553,2015,0,0,0,0,62966.4,3777.984,0,0
5978554,2015,1680,134.4,0,0,0,0,0,NA
5978555,2015,11556,924.48,0,0,0,0,0,0
5978556,2015,1400,112,0,0,0,0,0,0
5978557,2015,0,0,0,0,86190,5171.4,0,0
5978558,2015,0,0,0,0,68058,4083.48,0,0
5978559,2015,0,0,0,0,0,0,3660.8,219.648
5978560,2015,0,0,0,0,0,0,854.4,51.264
5978561,2015,756,60.48,0,0,0,0,0,0
5978564,2015,38160,3052.8,0,0,0,0,0,0
5978565,2015,0,0,0,0,7410,444.6,0,0
5978566,2015,6220,497.6,0,0,0,0,0,0
5978567,2015,0,0,9169.92,366.7968,0,0,NA,0
5978568,2015,0,0,64139.04,2565.5616,0,0,0,0
5978569,2015,5877,470.16,0,0,0,0,0,0
5978570,2015,0,0,0,0,102254.4,6135.264,0,0
5978571,2015,0,0,48153.6,1926.144,0,0,0,0
5978572,NA,2625,210,0,0,0,0,0,0
5978573,2015,14480,1158.4,0,0,0,0,0,0
5978574,2015,0,0,7912,316.48,0,0,0,0
5978575,2015,0,0,6175.4,247.016,0,0,0,0
5978577,2015,3495,279.6,0,0,0,0,0,0
5978578,2015,0,0,NA,532.208,0,0,0,0
5978579,2015,0,0,0,0,10560,633.6,0,0
5978581,2015,0,0,1249.6,49.984,0,0,0,0
5978582,2015,856,68.48,0,0,0,0,0,0
5978584,2015,0,0,0,0,37845,2270.7,0,0
5978585,2015,1840,147.2,0,0,0,0,0,0
5978586,2015,0,0,0,0,76824,4609.44,0,0
5978588,2015,0,0,0,0,26082,1564.92,0,0
5978589,2015,0,0,0,0,41659.2,2499.552,0,0
5978590,2015,0,0,0,0,302967,18178.02,0,0
5978591,2015,0,0,0,0,0,0,5862,351.72
5978592,2015,0,0,12744,509.76,0,0,0,0
5978594,2015,0,0,4065.6,162.624,0,0,0,0
5978595,2015,0,0,8089.2,323.568,0,0,0,0
5978596,2015,6336,506.88,0,0,0,0,0,0
5978597,2015,0,0,6100,244,0,0,0,0
5978600,2015,0,0,0,0,0,0,5176.5,310.59
5978601,2015,0,0,0,0,0,0,3416,204.96
5978602,2015,0,0,0,0,58212,3492.72,0,0
5978603,2015,0,0,0,0,1900.5,114.03,0,0
5978604,2015,0,0,10118.4,404.736,0,0,0,0
5978605,2015,0,0,3916.08,156.6432,0,0,0,0
5978606,2015,0,0,0,0,0,0,24570,1474.2
5978607,2015,0,0,9480,379.2,0,0,0,0
5978608,2015,0,0,2488.32,99.5328,0,0,0,0
5978609,2015,0,0,0,0,45792,2747.52,0,0
5978610,2015,0,0,0,0,144331.2,8659.872,0,0
5978611,2015,0,0,0,0,0,0,6219,373.14
5978612,2015,0,0,0,0,11115,666.9,0,0
5978613,2015,0,0,0,0,0,0,3402,204.12
5978614,2015,29575,2366,0,0,0,0,0,0
5978617,2015,0,0,0,0,0,0,7200,432
5978618,2015,0,0,NA,156.768,0,0,0,0
5978625,2015,48250,3860,0,0,0,0,0,0
5978626,2015,4740,379.2,0,0,0,0,0,0
5978627,2015,0,0,0,0,57153.6,3429.216,0,0
5978628,2015,520,41.6,0,0,0,NA,0,0
5978630,2015,0,0,14716.8,588.672,0,0,0,0
5978631,2015,0,0,0,0,84051,5043.06,0,0
5978632,2015,0,0,15734.4,629.376,0,0,0,0
5978633,2015,0,0,0,0,0,0,1248.8,74.928
5978634,2015,0,0,8316,332.64,0,0,0,0
5978635,2015,0,0,26004,1040.16,0,0,0,0
5978636,2015,0,0,1228.16,49.1264,0,0,0,0
5978637,2015,0,0,0,0,179323.2,10759.392,0,0
5978638,2015,0,0,7257.6,290.304,0,0,0,0
5978639,2015,0,0,0,0,131736,7904.16,0,0
5978640,2015,0,0,588,23.52,0,0,0,0
5978641,2015,6984,558.72,0,0,0,0,0,0
5978642,2015,0,0,3256.2,130.248,0,0,0,0
5978643,2015,9594,767.52,0,0,0,0,NA,0
5978644,2015,0,0,88288,3531.52,0,0,0,0
5978646,2015,0,0,1648.8,65.952,0,0,0,0
5978647,2015,14388,1151.04,0,0,0,0,NA,0
5978648,2015,0,0,0,0,446515.2,26790.912,0,0
5978649,2015,2502,200.16,0,0,0,0,0,0
5978650,2015,5130,410.4,0,0,0,0,0,0
5978651,2015,0,0,0,0,2831.4,169.884,0,0
5978652,2015,0,0,0,0,0,0,1233.6,74.016
5978653,2015,1965,157.2,0,0,0,0,0,0
5978656,2015,0,0,3663.44,146.5376,0,0,0,0
5978657,2015,0,0,0,0,155520,9331.2,0,0
5978658,2015,0,0,0,0,1371.6,82.296,0,0
5978659,2015,0,0,0,0,144855,8691.3,0,0
5978660,2015,0,0,4047.84,161.9136,0,0,0,0
5978661,2015,NA,0,0,0,27846,1670.76,0,0
5978662,2015,3498,279.84,0,0,0,0,0,0
5978663,2015,0,0,2926,117.04,0,0,0,0
5978664,2015,0,0,0,0,401310,24078.6,0,0
5978665,2015,0,0,0,0,0,0,979.2,58.752
